"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides","area_1","area_2","area_3","area_4_and_5","area_6","area_7","area_8"
"24","A0A087WW66;Q99460;A0A7I2V2K8;A0A7P0MW50;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V523;A0A7I2V4X0;A0A7I2V641;A0A7I2V479;A0A7I2YQI9;A0A7I2V491;C9J9M4;A0A7I2V4A5;H7BZR6","A0A087WW66;Q99460;A0A7I2V2K8;A0A7P0MW50;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V523;A0A7I2V4X0;A0A7I2V641;A0A7I2V479;A0A7I2YQI9;A0A7I2V491;C9J9M4;A0A7I2V4A5;H7BZR6","A0A087WW66;Q99460;A0A7I2V2K8;A0A7P0MW50;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V523;A0A7I2V4X0;A0A7I2V641;A0A7I2V479;A0A7I2YQI9","9;9;8;8;8;8;8;8;7;7;7;6;4;2;2;1","9;9;8;8;8;8;8;8;7;7;7;6;4;2;2;1","9;9;8;8;8;8;8;8;7;7;7;6;4;2;2;1","26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-AT",16,9,9,9,0.421345028199266,0.139633487287742,0.39795643684425,-2.23874402633407,0.2674050040672,-0.0964584701592521,NA
"25","A0A087WWG1;Q8TE77;E9PIT5;C9JUG3","A0A087WWG1;Q8TE77;E9PIT5;C9JUG3","A0A087WWG1;Q8TE77;E9PIT5;C9JUG3","2;2;1;1","2;2;1;1","2;2;1;1","Protein-serine/threonine phosphatase (Fragment);Protein phosphatase Slingshot homolog 3;Protein-serine/threonine phosphatase (Fragment);Protein phosphatase Slingshot homolog 3",4,2,2,2,-2.2691427480508,-2.10222798035388,NA,-1.48141285935828,-2.91730385833289,-2.82708253745163,NA
"26","A0A087WWM0;O43617;A0A087WYS5;A6NKE1","A0A087WWM0;O43617;A0A087WYS5;A6NKE1","A0A087WWM0;O43617;A0A087WYS5;A6NKE1","2;2;1;1","2;2;1;1","2;2;1;1","Trafficking protein particle complex subunit;Trafficking protein particle complex subunit 3;Trafficking protein particle complex subunit 3;Trafficking protein particle complex subunit 3",4,2,2,2,-1.89167203407304,-2.35959306184412,-1.58723302940923,NA,-2.57418490743769,-2.25113639150585,NA
"27","A0A087WWU8;D6R904;A0A494C0G0;Q5VU61","A0A087WWU8;D6R904;A0A494C0G0;Q5VU61","A0A087WWU8;D6R904","15;9;7;2","9;3;1;2","3;3;1;2","Tropomyosin alpha-3 chain;Tropomyosin alpha-3 chain",4,15,9,3,4.03908755660644,3.44811605111015,3.71613657442376,4.13781564406633,2.87598649730771,2.78744498705751,1.41750209122518
"28","A0A087WWV9;Q9UI46;Q5T8G8;H0YDT9","A0A087WWV9;Q9UI46;Q5T8G8;H0YDT9","A0A087WWV9;Q9UI46;Q5T8G8","6;6;3;1","6;6;3;1","6;6;3;1","Dynein axonemal intermediate chain 1;Dynein axonemal intermediate chain 1;Dynein axonemal intermediate chain 1 (Fragment)",4,6,6,6,-3.28232796656416,-2.67387462644642,-2.17024914398694,NA,-1.29418506311491,-1.54708166368816,NA
"29","A0A087WX59;Q16186;A0A087WUX6","A0A087WX59;Q16186;A0A087WUX6","A0A087WX59;Q16186;A0A087WUX6","2;2;1","2;2;1","2;2;1","Proteasomal ubiquitin receptor ADRM1;Proteasomal ubiquitin receptor ADRM1;Proteasomal ubiquitin receptor ADRM1 (Fragment)",3,2,2,2,-1.72854646485368,-1.65390488583036,-0.964809213314627,-2.69752112174279,-0.569996045428869,-0.73159448692741,NA
"30","A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0","A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81;J3KSJ0","A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;A0A087WY81","6;6;6;6;6;5;5;5;5;5;3;1","6;6;6;6;6;5;5;5;5;5;3;1","6;6;6;6;6;5;5;5;5;5;3;1","60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragment);60S ribosomal protein L17;60S ribosomal protein L17;60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragment);60S ribosomal prote",12,6,6,6,2.94321313444699,2.99791135921499,3.26055450775939,2.84797104044813,3.12121017805783,3.1217621453048,NA
"31","A0A087WXM8;P50895;K7ENU8;K7ERB7","A0A087WXM8;P50895;K7ENU8;K7ERB7","A0A087WXM8;P50895;K7ENU8","11;11;7;1","11;11;7;1","11;11;7;1","Basal cell adhesion molecule;Basal cell adhesion molecule;Basal cell adhesion molecule (Fragment)",4,11,11,11,1.03470355092248,1.78799096883521,1.48026411190565,3.50565101289985,0.797579257724927,0.586418768327459,-2.81645151589971
"32","A0A087WXX8;A0A087WWT1;P21912","A0A087WXX8;A0A087WWT1;P21912","A0A087WXX8;A0A087WWT1;P21912","3;3;3","3;3;3","3;3;3","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment);Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment);Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",3,3,3,3,-0.106099290497003,-0.824598672343534,-0.188632552257626,-1.14565407910054,0.0979690311649115,0.28376801852573,NA
"33","A0A087WY55;Q9NP79;Q5TGM0","A0A087WY55;Q9NP79;Q5TGM0","A0A087WY55;Q9NP79;Q5TGM0","4;4;3","4;4;3","4;4;3","Chromosome 6 open reading frame 55, isoform CRA_b;Vacuolar protein sorting-associated protein VTA1 homolog;Vacuolar protein sorting-associated protein VTA1 homolog",3,4,4,4,0.460807971626227,0.319524562587109,0.530883218412814,0.303372074959107,0.792363691959224,0.280029098494715,NA
"34","A0A087WYC0;A0A8I5KT73;A0A1W2PQY5;A0A8I5KNZ1;A0A8I5QJQ7;A0A6Q8KRG2;A0A8I5KZ68;A0A8J9BZL8;Q08379;A0A8I5KZ34;A0A8I5KQL3;A0A8I5KUW5;B7ZC06","A0A087WYC0;A0A8I5KT73;A0A1W2PQY5;A0A8I5KNZ1;A0A8I5QJQ7;A0A6Q8KRG2;A0A8I5KZ68;A0A8J9BZL8;Q08379;A0A8I5KZ34;A0A8I5KQL3;A0A8I5KUW5;B7ZC06","A0A087WYC0;A0A8I5KT73;A0A1W2PQY5;A0A8I5KNZ1;A0A8I5QJQ7;A0A6Q8KRG2;A0A8I5KZ68;A0A8J9BZL8;Q08379","5;5;5;5;5;5;5;5;5;1;1;1;1","5;5;5;5;5;5;5;5;5;1;1;1;1","5;5;5;5;5;5;5;5;5;1;1;1;1","Golgin subfamily A member 2 (Fragment);Golgin subfamily A member 2 (Fragment);Golgin subfamily A member 2 (Fragment);Golgin subfamily A member 2;Golgin subfamily A member 2;Golgin subfamily A member 2;Golgin subfamily A member 2;Golgin subfamily A member 2",13,5,5,5,-3.26874101368865,-3.13381074832997,-1.7788078744553,NA,-2.124775730289,-2.40424967741883,NA
"35","A0A087WYF1;A0A087WX80;P24043","A0A087WYF1;A0A087WX80;P24043","A0A087WYF1;A0A087WX80;P24043","7;7;7","7;7;7","7;7;7","Laminin subunit alpha-2;Laminin subunit alpha-2;Laminin subunit alpha-2",3,7,7,7,NA,-6.34252293761738,-3.92472047096811,-0.92596450004763,-3.61919308978935,-4.60059804434776,NA
"36","A0A087WYF6;F8W7U3;J3KP36;E7ESD2;A0A096LPC5;Q9Y4E1;Q641Q2;B1AP61","A0A087WYF6;F8W7U3;J3KP36;E7ESD2;A0A096LPC5;Q9Y4E1;Q641Q2;B1AP61","A0A087WYF6;F8W7U3;J3KP36;E7ESD2;A0A096LPC5;Q9Y4E1;Q641Q2;B1AP61","2;2;2;2;2;2;2;1","2;2;2;2;2;2;2;1","2;2;2;2;2;2;2;1","WASH complex subunit 2A;WASH complex subunit 2A;WASH complex subunit 2C;WASH complex subunit 2A;WASH complex subunit 2C;WASH complex subunit 2C;WASH complex subunit 2A;WASH complex subunit 2A (Fragment)",8,2,2,2,-4.0321306075896,-5.82565103431036,-6.02335456037126,NA,-4.74877782647301,-4.88783158792016,NA
"37","A0A087WYR3;O43399;A0A087WZ51","A0A087WYR3;O43399;A0A087WZ51","A0A087WYR3;O43399;A0A087WZ51","7;7;5","7;7;5","7;7;5","Tumor protein D54;Tumor protein D54;Tumor protein D54",3,7,7,7,1.50378317516335,1.24062819873107,1.30719791741852,1.46422060546012,0.753732271918327,1.0006409553264,-0.289916800884049
"38","A0A087WZ13;E9PAU2;Q8IY67;K7EKR9","A0A087WZ13;E9PAU2;Q8IY67;K7EKR9","A0A087WZ13;E9PAU2;Q8IY67;K7EKR9","2;2;2;1","2;2;2;1","2;2;2;1","Ribonucleoprotein PTB-binding 1;Ribonucleoprotein PTB-binding 1;Ribonucleoprotein PTB-binding 1;Ribonucleoprotein PTB-binding 1 (Fragment)",4,2,2,2,-3.90577922703749,-3.75083971379055,-2.77813107483921,NA,-3.28407269678104,-3.21746265560287,NA
"39","A0A087WZL0;Q86UU1","A0A087WZL0;Q86UU1","A0A087WZL0;Q86UU1","2;2","2;2","2;2","Pleckstrin homology-like domain family B member 1 (Fragment);Pleckstrin homology-like domain family B member 1",2,2,2,2,-3.89733631931374,-3.34730206197344,NA,-3.26300957480754,-5.17285663993773,-3.93014968476206,NA
"40","A0A087WZN1;O43837;A0A087X2E5;A0A0D9SG66","A0A087WZN1;O43837;A0A087X2E5;A0A0D9SG66","A0A087WZN1;O43837;A0A087X2E5","4;4;3;1","4;4;3;1","4;4;3;1","Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial",4,4,4,4,-2.37105285054509,-2.37790497339233,-1.92087356686879,NA,-1.93997806568172,-1.50598181830576,NA
"41","A0A087X0K0;P39059","A0A087X0K0;P39059","A0A087X0K0;P39059","13;13","13;13","13;13","Collagen alpha-1(XV) chain;Collagen alpha-1(XV) chain",2,13,13,13,1.40639900907187,0.935206634652555,2.11343791882709,0.220417873972909,1.60461298545281,1.95915655225598,-3.26736550459591
"42","A0A087X0R6;Q9UMY4","A0A087X0R6;Q9UMY4","A0A087X0R6;Q9UMY4","3;3","3;3","3;3","Sorting nexin-12;Sorting nexin-12",2,3,3,3,-0.41789550029841,-0.698983902886649,-1.8043705977818,-1.19566345522888,-1.03492995910986,-0.52719143810884,NA
"43","A0A087X165;Q9C0H9;A0A087WVV7;A0A590UJ70;A0A087WU33","A0A087X165;Q9C0H9;A0A087WVV7;A0A590UJ70;A0A087WU33","A0A087X165;Q9C0H9;A0A087WVV7;A0A590UJ70;A0A087WU33","4;4;3;3;2","4;4;3;3;2","4;4;3;3;2","SRC kinase-signaling inhibitor 1;SRC kinase signaling inhibitor 1;SRC kinase-signaling inhibitor 1 (Fragment);SRC kinase-signaling inhibitor 1;SRC kinase-signaling inhibitor 1 (Fragment)",5,4,4,4,-4.64721693263454,-5.73724508937359,-4.22077373851635,NA,-4.19396898909516,-4.35619180343927,NA
"44","A0A087X1B2;B9A018;Q53GS9","A0A087X1B2;B9A018;Q53GS9","A0A087X1B2;B9A018;Q53GS9","5;5;5","5;5;5","5;5;5","U4/U6.U5 tri-snRNP-associated protein 2;U4/U6.U5 tri-snRNP-associated protein 2;U4/U6.U5 tri-snRNP-associated protein 2",3,5,5,5,-1.21217894266314,-1.22266481006262,-3.04122347962941,NA,-0.882846800102783,-1.34501543850875,NA
"45","A0A087X1E4;P53365","A0A087X1E4;P53365","A0A087X1E4;P53365","3;3","3;3","3;3","Arfaptin-2;Arfaptin-2",2,3,3,3,-3.89168921709411,-2.77213484773153,-2.68592817066033,NA,-2.52281147601597,-1.99910275401878,NA
"46","A0A087X1F5;A0A087WYV9;P57105;A0A087WTA2","A0A087X1F5;A0A087WYV9;P57105;A0A087WTA2","A0A087X1F5;A0A087WYV9;P57105","4;4;4;1","4;4;4;1","4;4;4;1","Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial (Fragment);Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial;Synaptojanin-2-binding protein",4,4,4,4,-0.435009521162257,-0.235447766761883,-0.0409914977924615,-1.19667691468813,-0.310186291798839,-0.19535339679965,NA
"47","A0A087X1Z3;Q9UL46;H0YM70;H0YKU2","A0A087X1Z3;Q9UL46;H0YM70;H0YKU2","A0A087X1Z3;Q9UL46;H0YM70","6;6;5;1","6;6;5;1","6;6;5;1","Proteasome activator complex subunit 2;Proteasome activator complex subunit 2;Proteasome activator complex subunit 2",4,6,6,6,3.70454849115589,3.38126223426977,3.00265733522118,2.33969671548254,3.17534890491453,3.12470505693255,NA
"48","A0A087X208;A0A494C0G5;A0A494C1I6;O00468","A0A087X208;A0A494C0G5;A0A494C1I6;O00468","A0A087X208;A0A494C0G5;A0A494C1I6;O00468","9;9;9;9","9;9;9;9","9;9;9;9","Agrin;Agrin;Agrin;Agrin",4,9,9,9,-1.45715237081112,-1.05252794627789,-5.88044503037314,0.130134122642463,-3.53902410717678,-3.32070472663436,NA
